Команда,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Фунтики,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
Дзета,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
АМО-Натюрлих,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0
Нехорошая квартира,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1
Дети филфака,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1
Нет времени объяснять,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0
Respect,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0
С блэк-джеком,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0
Имитируем сарказм,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1
ХЗИВ,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
Ultima Ratio,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1
Баррикадное мышление,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Стальная ложка,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
317 кВт,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Падшие редуцированные,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Бренно лаская,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0
Бледность Ленина,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0
Follow Yellow маршмеллоу,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1
Вадим Казаченко,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Единогласно!,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1
Абсурдоперевод,1,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1
И тебя тоже,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0
149,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Вау! Сигнал,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
Нормальный чокер без кольца,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Проба грунта,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1
Покупание прекрасного коньяка,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,1
И пусть никто не уйдёт обиженный,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0
Защита Чубакки,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0
Колян Должанский,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Два по 0,5",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Обсидиановый ГУЛаг,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Улитка заходит в бар,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
Непонятно,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18+-,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0
Огого команда,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0
Оджутая,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ШуфляДКа,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Джин Толик,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
Через одну,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
