Команда,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
Фунтики,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,X,1,1,1,1,X,1,1,1,1,0,0,1,1
Дзета,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,X,0,1,0,0,X,1,1,1,0,0,0,1,1
Нехорошая квартира,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,X,1,1,0,1,X,1,0,1,1,0,0,1,1
Дети филфака,1,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,X,0,0,0,1,X,0,1,1,1,0,0,1,1
Че,1,1,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,X,0,0,0,0,X,0,0,1,1,0,0,1,1
Кефирные грибки,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,X,0,0,0,1,X,0,0,0,0,0,0,1,1
Lieben bier,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,X,0,0,0,0,X,1,0,1,1,0,0,1,1
Плинтус,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,1,X,0,0,0,1,X,1,0,0,1,0,0,1,1
Фламандский лев,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,X,1,0,1,0,X,1,0,1,0,0,0,1,1
Теддики,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,X,1,0,0,1,X,0,0,1,0,0,0,1,1
Утечка мозгов,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,X,0,1,0,0,X,1,0,1,1,0,0,1,1
Привкус,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,X,0,1,0,0,X,0,0,1,1,1,0,1,1
Слёзы Мичурина,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,X,0,1,0,0,X,1,0,0,0,0,0,1,1
ХЗИВ,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,X,0,0,0,1,X,1,0,1,1,0,1,1,1
Delta Force,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,X,0,0,1,0,X,1,0,1,1,0,0,1,1
Ultima Ratio,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,X,0,1,0,1,X,0,0,0,1,0,0,1,1
Баррикадное мышление,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,X,0,1,0,0,X,0,0,1,0,0,0,1,1
Мамонтлошечка,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,X,0,1,0,1,X,1,0,1,0,0,1,1,1
Аднавокая зьмяя,0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,X,0,1,1,0,X,0,0,0,0,0,0,1,1
317 кВт,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,X,0,0,0,0,X,0,1,0,0,0,0,0,1
Падшие редуцированные,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,X,0,1,0,0,X,1,1,0,0,0,0,1,1
Wishni,0,0,0,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,X,0,0,0,0,X,1,0,0,1,0,0,1,1
Бренно лаская,0,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,X,0,1,0,1,X,0,0,1,0,0,0,1,1
Бледность Ленина,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,X,0,1,0,0,X,1,0,1,0,0,0,1,1
Follow Yellow маршмеллоу,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,X,0,0,0,1,X,0,0,1,0,0,0,1,0
Смеситель-искуситель,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,X,0,1,0,0,X,1,0,0,1,0,0,1,1
Високосный кот,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,X,0,0,0,0,X,0,0,0,1,0,0,1,0
Она любит,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,X,0,0,0,1,X,0,0,1,0,0,1,1,1
Вадим Казаченко,1,0,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,X,0,1,0,0,X,1,0,1,1,0,0,1,1
Привет Горбачёву,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,X,0,0,0,0,X,1,0,0,0,0,0,1,1
Единогласно!,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,X,0,0,1,1,X,0,0,0,1,0,0,1,1
Абсурдоперевод,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,X,0,0,1,1,X,1,0,0,0,0,0,1,1
И тебя тоже,0,0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,X,0,1,0,0,X,0,0,1,0,0,0,1,1
Капитан-рамадан,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,X,0,0,0,0,X,1,0,1,1,0,0,0,1
149,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,X,0,1,0,0,X,0,0,0,0,0,0,1,1
Вау! Сигнал,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,X,0,0,0,1,X,0,0,0,0,0,0,1,1
Без разницы,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,1,X,0,1,0,1,X,0,0,1,0,0,0,1,1
Волчестай Жупов,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,X,0,0,0,0,X,1,0,0,0,0,0,1,1
Народная Volvo,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,X,0,0,0,0,X,0,0,1,0,0,0,1,1
Подозрительные пассажиры,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,X,0,1,0,0,X,1,0,0,0,0,0,1,0
Маеш рацыю,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,X,0,0,0,0,X,0,0,1,1,0,0,0,1
Пренебрегая вальсируем,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,X,0,0,0,0,X,0,0,0,0,0,0,1,1
Корпрусариум deluxe,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,X,0,1,0,1,X,1,0,0,1,0,1,1,1
Проба грунта,0,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,X,0,0,0,0,X,0,0,0,1,0,1,1,1
Автостопом по Прибалтике,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,X,0,0,0,0,X,0,0,0,0,0,0,1,1
Эстонский экспресс,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,X,0,0,0,0,X,1,0,0,1,0,0,1,1
Вы арестованы,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,X,0,0,0,0,X,1,0,0,0,0,0,1,1
Человеки из Кемерова,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,X,0,1,0,0,X,1,0,0,1,0,0,1,1
Лучшие люди Мордора,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,X,0,0,0,0,X,0,0,0,0,0,0,1,0
