"MatchWeek","HomeTeam","HomeScore","AwayTeam","AwayScore"
"19","Рубин","0","Оренбург","0"
"19","Амкар","1","Зенит","0"
"19","Спартак","1","Анжи","0"
"19","Ростов","0","Терек","0"
"19","Локомотив","1","Краснодар","2"
"20","Анжи","1","Оренбург","0"
"20","Томь","1","Амкар","0"
"20","Урал","1","Рубин","0"
"20","Локомотив","1","Спартак","1"
"20","Крылья Советов","0","Ростов","0"
"20","Терек","0","ЦСКА","1"
"20","Краснодар","0","Уфа","0"
"20","Зенит","2","Арсенал","0"
"21","Анжи","2","Урал","3"
"21","Уфа","0","Локомотив","1"
"21","Арсенал","3","Томь","0"
"21","Амкар","1","Терек","1"
"21","Рубин","0","Зенит","2"
"21","ЦСКА","2","Крылья Советов","1"
"21","Спартак","3","Оренбург","2"
"21","Ростов","0","Краснодар","0"
"22","Крылья Советов","2","Амкар","2"
"22","Терек","3","Арсенал","1"
"22","Зенит","1","Анжи","1"
"22","Уфа","1","Спартак","3"
"22","Краснодар","1","ЦСКА","1"
"22","Локомотив","0","Ростов","0"
"22","Томь","2","Рубин","2"
"22","Урал","2","Оренбург","0"
"23","Амкар","1","Уфа","1"
"23","ЦСКА","0","Ростов","0"
"23","Анжи","1","Крылья Советов","3"
"23","Рубин","0","Краснодар","1"
"23","Оренбург","2","Терек","1"
"23","Урал","1","Томь","0"
"23","Арсенал","0","Локомотив","3"
"23","Спартак","2","Зенит","1"
"24","Уфа","0","ЦСКА","2"
"24","Зенит","2","Урал","0"
"24","Ростов","3","Спартак","0"
"24","Локомотив","3","Амкар","3"
"24","Терек","0","Анжи","1"
"24","Томь","1","Оренбург","2"
"24","Крылья Советов","0","Рубин","0"
"24","Краснодар","2","Арсенал","0"
"25","Спартак","1","Урал","0"
"25","Ростов","1","Уфа","0"
"25","Оренбург","0","Зенит","1"
"25","Рубин","0","Терек","1"
"25","Арсенал","2","Крылья Советов","0"
"25","ЦСКА","4","Локомотив","0"
"25","Амкар","0","Краснодар","2"
"25","Анжи","3","Томь","3"
"26","Локомотив","0","Рубин","1"
"26","Терек","5","Урал","2"
"26","Уфа","1","Арсенал","0"
"26","ЦСКА","1","Спартак","2"
"26","Ростов","1","Амкар","0"
"26","Томь","0","Зенит","2"
"26","Крылья Советов","1","Оренбург","1"
"26","Краснодар","0","Анжи","0"
"27","Амкар","0","ЦСКА","2"
"27","Арсенал","1","Ростов","0"
"27","Спартак","1","Томь","0"
"27","Оренбург","1","Краснодар","0"
"27","Рубин","2","Уфа","1"
"27","Зенит","0","Терек","1"
"27","Урал","1","Крылья Советов","3"
"27","Анжи","0","Локомотив","0"
"28","ЦСКА","3","Арсенал","0"
"28","Урал","1","Краснодар","1"
"28","Амкар","0","Спартак","1"
"28","Крылья Советов","1","Зенит","3"
"28","Локомотив","4","Оренбург","0"
"28","Томь","1","Терек","2"
"28","Уфа","2","Анжи","1"
"28","Ростов","4","Рубин","2"
"29","Томь","0","Крылья Советов","2"
"29","Оренбург","1","Уфа","1"
"29","Урал","1","Локомотив","2"
"29","Спартак","3","Терек","0"
"29","Рубин","0","ЦСКА","2"
"29","Анжи","1","Ростов","2"
"29","Зенит","1","Краснодар","0"
"29","Арсенал","0","Амкар","0"
"30","Арсенал","3","Спартак","0"
"30","Амкар","1","Рубин","2"
"30","ЦСКА","4","Анжи","0"
"30","Оренбург","2","Ростов","0"
"30","Уфа","1","Урал","0"
"30","Томь","1","Краснодар","5"
"30","Крылья Советов","1","Терек","3"
"30","Локомотив","0","Зенит","2"
